,Place
conf/iwlcs/2000,None
conf/pet/2007,None
conf/tphol/2005,None
conf/atal/1998,None
conf/atal/1997,None
conf/tphol/1999,None
conf/icaris/2003,None
conf/cav/2015-1,None
conf/dmkd/2004,None
conf/isca/2015,None
conf/ecml/2004,None
conf/cscw/2015,None
conf/pqcrypto/2010,None
conf/sigcomm/2011,None
conf/afp/98,None
conf/gis/2011lbsn,None
conf/pods/86,None
conf/rtss/1990,None
conf/eurocrypt/2016-1,None
conf/fase/2001,None
conf/pkc/1998,None
conf/recsys/2013,None
conf/wmcsa/2010,None
conf/malware/2010,None
conf/ACMdis/2004,None
conf/oopsla/1998,None
conf/cav/1995,None
conf/acmicn/2012,None
conf/eccv/2010-2,None
conf/sigsoft/2005,None
conf/icdm/2007,None
conf/vl/1996,None
conf/aosd/2005,None
conf/stoc/1999,None
conf/csfw/2011,None
conf/tcc/2016a2,None
conf/nspw/2009,None
conf/ccs/2008fmse,None
conf/wsdm/2014,None
conf/si3d/2009,None
conf/issta/2004,None
conf/rt/2001,None
conf/wpes/2002,None
conf/hri/2007,None
conf/emo/2006,None
conf/eurocrypt/87,None
conf/cikm/2012shb,None
conf/esorics/2008,None
conf/soups/2007,None
conf/sacrypt/2003,None
conf/bpm/2011,None
conf/haskell/2008,None
conf/icse/1999,None
conf/siggraph/1992,None
conf/podc/1990,None
conf/ccs/2004,None
conf/pdc/2004,None
conf/cp/1998,None
conf/indocrypt/2008,None
conf/fc/2010w,None
conf/ilp/1997,None
conf/oopsla/2007,None
conf/pldi/2015,None
conf/oopsla/1986,None
conf/nmelp/1996,None
conf/dimacs/dimacs50,None
conf/sosp/1989,None
conf/bpm/2005,None
conf/ecoop/1995,None
conf/cobuild/1999,None
conf/pldi/2009plas,None
conf/group/2007,None
conf/cpm/2001,None
conf/popl/2016,None
conf/persuasive/2010,None
conf/csfw/2008,None
conf/pqcrypto/2014,None
conf/fmcad/2000,None
conf/csfw/2012,None
conf/sacrypt/2010,None
conf/aplas/2005,None
conf/icalp/1992,None
conf/si3d/1995,None
conf/esop/2006,None
conf/tacas/2012,None
conf/pods/96,None
conf/scn/2010,None
conf/gsn/2006,None
conf/compgeom/2004,None
conf/aes/2004,None
conf/cardis/2010,None
conf/acns/2009,None
conf/mm/2014,None
conf/sc/2009,None
conf/icmt/2009,None
conf/cade/2007,None
conf/fse/1998,None
conf/pkc/1999,None
conf/msr/2013,None
conf/icer/2008,None
conf/esws/2007,None
conf/ccs/2013aisec,None
conf/mobicom/1995,None
conf/afp/2002,None
conf/acns/2004,None
conf/icde/2011,None
conf/lics/2004,None
conf/acns/2008,None
conf/sigcomm/1996,None
conf/assets/2000,None
conf/crypto/2016-2,None
conf/sas/1999,None
conf/podc/2002,None
conf/rex/1990,None
conf/hybrid/1995,None
conf/itp/2010,None
conf/csfw/2009,None
conf/sigmod/2015,None
conf/sigcomm/2010mobiheld,None
conf/ecml/1994,None
conf/ppopp/1993,None
conf/iccv/2001-2,None
conf/types/1993,None
conf/civr/2009,None
conf/conext/2013,None
conf/vamos/2012,None
conf/fc/2016w,None
conf/ssd/93,None
conf/emsoft/2001,None
conf/pods/93,None
conf/cade/2013,None
conf/sas/2013,None
conf/vizsec/2011,None
conf/icml/1992,None
conf/eurosec/2014,None
conf/kcap/2003,None
conf/rt/1998,None
conf/gis/2003,None
conf/cade/2005,None
conf/hotnets/2011,None
conf/wabi/2002,None
conf/eccv/2012-7,None
conf/sigcomm/2012,None
conf/osdi/1996,None
conf/fmco/2006,None
conf/ipmi/2003,None
conf/iiswc/2008,None
conf/sp/2004,None
conf/chi/2016,None
conf/promas/2003,None
conf/sigecom/2009,None
conf/cpe/2002,None
conf/cp/1999,None
conf/eccv/2014-2,None
conf/concur/1992,None
conf/fmcad/1996,None
conf/patat/2004,None
conf/crypto/2017-1,None
conf/sp/1997,None
conf/sat/2004lncs,None
conf/dimva/2010,None
conf/esws/2008,None
conf/indocrypt/2004,None
conf/pkdd/2002,None
conf/cikm/2010smuc,None
conf/esop/2004,None
conf/sacrypt/2007,None
conf/oopsla/2009,None
conf/cms/2002,None
conf/agents/1998,None
conf/acsac/2012,None
conf/apn/1986,None
conf/acsac/2011,None
conf/edbt/2011array,None
conf/fossacs/2009,None
conf/ima/2005,None
conf/sigcomm/2009visa,None
conf/dialm/2005,None
conf/ilp/2000,None
conf/sigsoft/2011,None
conf/edbt/2000,None
conf/sfm/2003,None
conf/si3d/2006,None
conf/IEEEcloud/2009,None
conf/aussois/2001,None
conf/ecml/2001,None
conf/models/2006,None
conf/sas/2007,None
conf/icde/2006,None
conf/iwpec/2006,None
conf/dialm/2003,None
conf/imc/2008,None
conf/cpe/2003,None
conf/cosit/2001,None
conf/uc/2012,None
conf/sacrypt/2012,None
conf/sacmat/2004,None
conf/npar/2006,None
conf/tacas/2015,None
conf/focs/FOCS33,None
conf/caise/2007,None
conf/icse/2003,None
conf/mabs/2002,None
conf/icaris/2004,None
conf/spin/2004,None
conf/sat/2005,None
conf/sigecom/2007,None
conf/pkc/2015,None
conf/fse/2013,None
conf/cloudcom/2009,None
conf/webdb/2004,None
conf/fia/2011,None
conf/icaris/2005,None
conf/easss/2001,None
conf/ih/2010,None
conf/edoc/2009,None
conf/grid/2000,None
conf/pet/2013,None
conf/icse/1995,None
conf/eccv/2004-3,None
conf/compos/1997,None
conf/fm/2006,None
conf/cade/1999,None
conf/icnn/1995,None
conf/eccv/2016-3,None
conf/asiacrypt/2015-1,None
conf/cosit/2005,None
conf/icdm/2010,None
conf/sat/2006,None
conf/rta/1985,None
conf/fmco/2010,None
conf/dbsec/2007,None
conf/npar/2009,None
conf/fm/2011,None
conf/ppopp/1995,None
conf/ssd/2007,None
conf/si3d/1999,None
conf/sigsoft/2013,None
conf/ACMdis/2012,None
conf/ilp/1999,None
conf/popl/2011damp,None
conf/wpes/2006,None
conf/sns/2011,None
conf/mabs/1998,None
conf/ches/2014,None
conf/podc/2001,None
conf/concur/2005,None
conf/pods/2012,None
conf/spin/5000,None
conf/pkdd/2003,None
conf/ac/2000appsem,None
conf/dagstuhl/2003dspg,None
conf/pdc/2012-1,None
conf/ewsn/2004,None
conf/uist/1998,None
conf/ilp/2001,None
conf/ecoop/2004,None
conf/infinity/1997,None
conf/ecoop/1999,None
conf/mhci/2012,None
conf/pqcrypto/2011,None
conf/mobihoc/2008,None
conf/vee/2007,None
conf/hpca/2012,None
conf/papm/2001,None
conf/pet/2008,None
conf/wpes/2003,None
conf/ecmdafa/2009,None
conf/pet/2005,None
conf/sacmat/2006,None
conf/esorics/2011,None
conf/tei/2008,None
conf/litp/1990,None
conf/uml/2000,None
conf/sigsoft/2012,None
conf/icalp/1989,None
conf/isca/1993,None
conf/kdd/2012urbcomp,None
conf/sacmat/2001,None
conf/hri/2006,None
conf/cikm/2011smuc,None
conf/ecoop/2006,None
conf/nfm/2011,None
conf/www/2006,None
conf/gis/2009lbsn,None
conf/sigcomm/2010,None
conf/cmsb/2004,None
conf/icdt/2009,None
conf/uist/2016,None
conf/pkdd/2001,None
conf/websci/2012,None
conf/oopsla/2012,None
conf/cvpr/2017,None
conf/uist/1996,None
conf/ppsn/2004,None
conf/siggraph/2015gallery,None
conf/i-semantics/2013,None
conf/sigsoft/2014,None
conf/sc/2007,None
conf/eccv/2016-7,None
conf/antalg/2002,None
conf/vmcai/2012,None
conf/fossacs/2002,None
conf/middleware/2004,None
conf/eccv/1996-1,None
conf/als/2003,None
conf/imw/2001,None
conf/oopsla/2000,None
conf/ecoop/2002,None
conf/haskell/2011,None
conf/ccs/2014,None
conf/kdd/2015,None
conf/apn/2003,None
conf/oopsla/1990,None
conf/damon/2009,None
conf/hpca/2009,None
conf/sigecom/2004,None
conf/colt/2003,None
conf/giscience/2004,None
conf/ecmdafa/2006,None
conf/spieSR/1995,None
conf/fmco/2007,None
conf/icfp/2010,None
conf/si3d/2005,None
conf/bpm/2010,None
conf/fc/1999,None
conf/wisec/2008,None
conf/esop/2000,None
conf/fase/2005,None
conf/dialm/2002,None
conf/wea/2008,None
conf/agents/1997,None
conf/ifm/2002,None
conf/icse/2016,None
conf/pods/2010,None
conf/cikm/2003,None
conf/ccs/2009asia,None
conf/sigir/2009,None
conf/icsd/2002,None
conf/icalp/2002,None
conf/dimva/2005,None
conf/issta/2012,None
conf/avbpa/2001,None
conf/focs/2012,None
conf/bpm/2012,None
conf/acisp/2004,None
conf/mlcw/2005,None
conf/ht/87,None
conf/ssdgp/2006,None
conf/cade/2011,None
conf/wsdm/2015,None
conf/wdag/2006,None
conf/cc/2010,None
conf/hybrid/2003,None
conf/pkdd/2000,None
conf/woss/2002,None
conf/dimva/2006,None
conf/ewcbr/1998,None
conf/icalp/2003,None
conf/bpm/2006w,None
conf/cikm/2009clouddb,None
conf/mobihoc/2015mobidata,None
conf/asplos/1998,None
